Fecha,NDVI,Tmedia,Tmax,Tmin,Precip
2023-10-01,0.1837467077191903,17.2,28.5,6.4,0.0
2023-10-06,0.1676093882857024,16.016666666666666,30.2,0.0,0.5
2023-10-16,0.1599789310378012,17.91818181818182,38.7,-1.7,1.5
2023-10-26,0.1531820267886256,20.12727272727273,34.8,6.2,7.5
2023-11-05,0.1734343150732754,17.59090909090909,36.1,2.1,43.3
2023-11-15,0.1754840761348922,21.572727272727274,41.7,8.5,8.0
2023-11-25,0.1736988091238169,22.763636363636362,36.9,8.6,14.8
2023-12-10,0.237406833351453,21.354545454545455,34.9,9.4,6.3999999999999995
2023-12-25,0.45732825249492,23.254545454545454,38.3,13.4,31.500000000000004
2023-12-30,0.4552958915754592,24.736363636363635,39.8,14.9,13.4
2024-01-14,0.3507387279544863,24.900000000000002,35.3,18.3,56.69999999999999
2024-01-19,0.7447306670731759,23.94545454545454,33.3,13.8,12.400000000000002
2024-01-24,0.78277295080115,23.07272727272727,33.3,12.1,10.100000000000001
2024-01-29,0.8048751413477494,23.772727272727273,36.0,11.5,0.5
2024-02-03,0.7908163780040505,26.027272727272727,40.9,11.5,0.0
2024-03-04,0.892054408325604,22.6,32.7,12.5,37.1
2024-03-24,0.8209380930646238,22.200000000000003,36.1,7.7,7.3999999999999995
2024-03-29,0.7338658462851496,22.418181818181818,36.1,7.7,4.8
2024-04-08,0.6289270731123685,19.790909090909093,37.5,8.1,27.1
2024-04-18,0.5638129189301261,16.345454545454544,31.1,6.4,61.9
2024-05-08,0.2714226567957222,16.625,26.8,6.8,1.8
